AplicacionID,ClaveAplicacion,NumLinea,Referencia,ObjetoBDID,Objeto,TipoObjetoID,TipoObjeto,BaseDatosID,BaseDatos,Archivo,Extension,BibPadre,ObjPadre
"0","5","483","Dim jj As Integer, indice As Integer","2010","JJ","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","518","txtport = Balanza t-2","2130","BALANZA","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","518","txtport = Balanza t-2","2702","BALANZA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","540","txtcadena = La revisi�n de la posici�n cambiaria tomada de la balanza contable para el  & Day(fecha0)","2130","BALANZA","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","540","txtcadena = La revisi�n de la posici�n cambiaria tomada de la balanza contable para el  & Day(fecha0)","2702","BALANZA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","719","txtport = Balanza t-9","2130","BALANZA","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","719","txtport = Balanza t-9","2702","BALANZA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","738","txtcadena = La revisi�n de la posici�n cambiaria tomada de la balanza contable para el  & Day(fecha0)","2130","BALANZA","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","738","txtcadena = La revisi�n de la posici�n cambiaria tomada de la balanza contable para el  & Day(fecha0)","2702","BALANZA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","1218","If  & Val(matpos(i).c_operacion) &  = matpos(i).c_operacion Then 'esta es una posicion neta","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","1300","MsgBox Atencion. Si ajusta la valuacion de las emisisiones se perderar los parametros de estres cargados en la sesion","2163","PARAMETROS","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","1300","MsgBox Atencion. Si ajusta la valuacion de las emisisiones se perderar los parametros de estres cargados en la sesion","2602","PARAMETROS","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","1523","MsgBox El archivo  & nomarch &  no esta disponible","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","1551","MsgBox Esta rutina sube los flujos de emisiones especiales a una tabla en oracle","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
